koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,label
0,0,9.48803557,170.53875,0.146,2.9575,615.8,2.26,793.0,93.59,35.8,5455.0,4.467,0.927,15.347,1
0,0,54.4183827,162.51384,0.586,4.507,874.8,2.83,443.0,9.11,25.8,5455.0,4.467,0.927,15.347,1
1,0,19.89913995,175.850252,0.969,1.7822,5385.612499999999,14.6,638.0,39.3,76.3,5853.0,4.544,0.868,15.436,0
1,0,1.736952453,170.307565,1.276,2.40641,5385.612499999999,33.46,1395.0,891.96,255.76250000000002,5805.0,4.564,0.791,15.597,0
0,0,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406.0,926.16,40.9,6031.0,4.438,1.046,15.509,1
0,0,11.09432054,171.20116,0.538,4.5945,1517.5,3.9,835.0,114.81,66.5,6046.0,4.486,0.972,15.714,1
0,0,4.13443512,172.97937,0.762,3.1402,686.0,2.77,1160.0,427.65,40.2,6046.0,4.486,0.972,15.714,1
0,0,2.56658897,179.55437,0.755,2.429,226.5,1.59,1360.0,807.74,15.0,6046.0,4.486,0.972,15.714,1
1,1,7.36178958,132.25053,1.169,5.022,233.7,39.21,1342.0,767.22,47.7,6227.0,3.986,1.958,12.66,0
0,0,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600.0,30.75,161.9,5031.0,4.485,0.848,15.841,1
0,0,2.470613377,122.763305,0.818,1.74319,5385.612499999999,13.04,1339.0,761.46,255.76250000000002,5820.0,4.457,0.964,11.338,1
1,0,2.204735417,121.3585417,0.224,3.88864,5385.612499999999,16.1,2048.0,2761.2975000000006,255.76250000000002,6440.0,4.019,1.952,10.565749999999998,1
0,0,3.522498429,121.1194228,0.631,3.19843,5385.612499999999,14.59,1521.0,1264.67,255.76250000000002,6225.0,4.169,1.451,13.563,1
0,0,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206.0,500.46,50.6,5833.0,4.407,1.022,12.772,1
1,0,11.521446064,170.839688,1.901,3.6399,5385.612499999999,56.65125,753.0,75.88,255.76250000000002,5795.0,4.554,0.848,15.472,0
1,0,19.40393776,172.484253,0.804,12.2155,5385.612499999999,7.18,523.0,17.69,214.7,5043.0,4.591,0.68,15.487,0
1,0,19.221388942,184.5521637,1.065,4.79843,5385.612499999999,49.29,698.0,55.97,255.76250000000002,6117.0,4.496,0.947,15.341,0
1,0,16.46983774,180.881761,0.292,9.4378,5385.612499999999,7.94,595.0,29.61,255.76250000000002,5152.0,4.517,0.786,15.788,0
0,0,9.27358173,173.258155,0.387,3.2875,1288.3,2.47,649.0,41.85,87.2,4856.0,4.583,0.696,15.302,1
0,0,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,678.0,50.04,65.4,4537.0,4.648,0.672,15.784,1
1,1,2.696370652,170.73769,0.044,3.6129,397.9,1.58,1066.0,305.34,48.2,4989.0,4.504,0.819,15.269,0
0,0,5.349553819,171.80694,0.092,3.0278,831.0,2.55,919.0,168.99,60.6,5185.0,4.44,0.91,15.416,1
0,0,3.94105221,136.08662,0.226,2.5984,363.3,1.7,1018.0,253.15,28.9,5185.0,4.44,0.91,15.416,1
0,0,8.10904807,132.8031,0.025,3.596,217.4,1.3,800.0,97.03,14.1,5185.0,4.44,0.91,15.416,1
1,0,87.105456694375,166.342079,0.9765,6.8057,5385.612499999999,41.5,297.0,1.84,255.76250000000002,5543.0,4.081,1.58,12.394,0
0,0,21.67699193,171.53594,0.896,3.4555,857.2,2.95,530.0,18.64,34.3,4954.0,4.5,0.828,15.377,1
0,0,4.99677968,171.74208,0.71,2.1717,934.7,2.78,917.0,166.95,28.2,5339.0,4.552,0.847,15.861,1
0,0,4.280963604,171.89659,0.424,2.875,750.8,2.3,1012.0,247.87,61.8,5644.0,4.564,0.831,15.356,1
0,1,1.50635409,170.998064,0.86,1.5155,2211.7,4.53,1452.0,1054.12,181.1,5714.0,4.563,0.831,15.525,0
0,0,87.105456694375,209.04355,0.701,12.28915,5385.612499999999,14.14,196.0,0.35,255.76250000000002,5520.0,4.466,0.983,15.207,0
1,0,61.2563628,173.83826,1.248,7.633,5123.3,39.87,505.0,15.43,85.3,6144.0,4.402,1.091,15.25,0
0,0,38.3775486,172.82048,0.468,5.588,724.2,2.82,529.0,18.53,34.7,5481.0,4.369,1.036,15.172,1
0,0,41.19725502,165.00404,0.045,4.6297,2213.9,3.86,439.0,8.76,51.2,5031.0,4.485,0.848,15.841,1
0,0,6.252962249,171.30126,0.105,2.5819,1036.9,2.65,823.0,108.3,47.1,5031.0,4.485,0.848,15.841,1
0,0,16.01308419,176.3608,0.799,3.2554,1121.9,3.1,593.0,29.31,33.2,5015.0,4.499,0.826,15.39,1
0,0,32.62876672,194.1019,0.021,4.7971,1804.8,3.36,506.0,15.55,80.0,5586.0,4.56,0.798,15.082,1
0,0,87.105456694375,193.8378,0.606,6.473,652.0,2.12,359.0,3.92,19.1,5586.0,4.56,0.798,15.082,1
