rowid,kepid,koi_disposition,koi_pdisposition,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
1,10797460,CONFIRMED,CANDIDATE,0,0,9.48803557,170.53875,0.146,2.9575,615.8,2.26,793.0,93.59,35.8,5455.0,4.467,0.927,291.93423,48.141651,15.347,1
2,10797460,CONFIRMED,CANDIDATE,0,0,54.4183827,162.51384,0.586,4.507,874.8,2.83,443.0,9.11,25.8,5455.0,4.467,0.927,291.93423,48.141651,15.347,1
3,10811496,FALSE POSITIVE,FALSE POSITIVE,1,0,19.89913995,175.850252,0.969,1.7822,5385.612499999999,14.6,638.0,39.3,76.3,5853.0,4.544,0.868,297.00482,48.134129,15.436,0
4,10848459,FALSE POSITIVE,FALSE POSITIVE,1,0,1.736952453,170.307565,1.276,2.40641,5385.612499999999,33.46,1395.0,891.96,255.76250000000002,5805.0,4.564,0.791,285.53461,48.28521,15.597,0
5,10854555,CONFIRMED,CANDIDATE,0,0,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406.0,926.16,40.9,6031.0,4.438,1.046,288.75488,48.2262,15.509,1
6,10872983,CONFIRMED,CANDIDATE,0,0,11.09432054,171.20116,0.538,4.5945,1517.5,3.9,835.0,114.81,66.5,6046.0,4.486,0.972,296.28613,48.22467,15.714,1
7,10872983,CONFIRMED,CANDIDATE,0,0,4.13443512,172.97937,0.762,3.1402,686.0,2.77,1160.0,427.65,40.2,6046.0,4.486,0.972,296.28613,48.22467,15.714,1
8,10872983,CONFIRMED,CANDIDATE,0,0,2.56658897,179.55437,0.755,2.429,226.5,1.59,1360.0,807.74,15.0,6046.0,4.486,0.972,296.28613,48.22467,15.714,1
9,6721123,FALSE POSITIVE,FALSE POSITIVE,1,1,7.36178958,132.25053,1.169,5.022,233.7,39.21,1342.0,767.22,47.7,6227.0,3.986,1.958,298.86435,42.151569,12.66,0
10,10910878,CONFIRMED,CANDIDATE,0,0,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600.0,30.75,161.9,5031.0,4.485,0.848,286.99948,48.37579,15.841,1
